gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,arenaId,attendance,gameType,tournamentRound
22401229,2024-12-14 16:30:00,Milwaukee,Bucks,1610612749,Atlanta,Hawks,1610612737,110,102,1610612749,,17113.0,,
22401215,2024-12-13 22:00:00,Portland,Trail Blazers,1610612757,San Antonio,Spurs,1610612759,116,118,1610612759,,17025.0,,
22401214,2024-12-13 21:30:00,Utah,Jazz,1610612762,Phoenix,Suns,1610612756,126,134,1610612756,,18175.0,,
22401213,2024-12-13 21:00:00,Denver,Nuggets,1610612743,Los Angeles,Clippers,1610612746,120,98,1610612743,,19779.0,,
22401212,2024-12-13 20:00:00,Chicago,Bulls,1610612741,Charlotte,Hornets,1610612766,109,95,1610612741,,19543.0,,
22401211,2024-12-13 20:00:00,Memphis,Grizzlies,1610612763,Brooklyn,Nets,1610612751,135,119,1610612763,,15983.0,,
22401210,2024-12-13 20:00:00,Minnesota,Timberwolves,1610612750,Los Angeles,Lakers,1610612747,97,87,1610612750,,18978.0,,
22401209,2024-12-13 19:00:00,Philadelphia,76ers,1610612755,Indiana,Pacers,1610612754,107,121,1610612754,,19771.0,,
22401208,2024-12-13 19:00:00,Cleveland,Cavaliers,1610612739,Washington,Wizards,1610612764,115,105,1610612739,,19432.0,,
22401207,2024-12-12 20:00:00,New Orleans,Pelicans,1610612740,Sacramento,Kings,1610612758,109,111,1610612758,,15488.0,,
22401206,2024-12-12 19:30:00,Miami,Heat,1610612748,Toronto,Raptors,1610612761,114,104,1610612748,,19600.0,,
22401205,2024-12-12 19:30:00,Boston,Celtics,1610612738,Detroit,Pistons,1610612765,123,99,1610612738,,19156.0,,
22401204,2024-12-11 21:30:00,Houston,Rockets,1610612745,Golden State,Warriors,1610612744,91,90,1610612745,215.0,18055.0,,
22401202,2024-12-11 19:00:00,New York,Knicks,1610612752,Atlanta,Hawks,1610612737,100,108,1610612737,30.0,19812.0,,
22401203,2024-12-10 21:30:00,Oklahoma City,Thunder,1610612760,Dallas,Mavericks,1610612742,118,104,1610612760,1000052.0,17724.0,,
22401201,2024-12-10 19:00:00,Milwaukee,Bucks,1610612749,Orlando,Magic,1610612753,114,109,1610612749,642.0,17341.0,,
22400359,2024-12-09 19:30:00,Toronto,Raptors,1610612761,New York,Knicks,1610612752,108,113,1610612752,643.0,18284.0,,
22400358,2024-12-08 21:30:00,Los Angeles,Lakers,1610612747,Portland,Trail Blazers,1610612757,107,98,1610612747,1000069.0,18997.0,,
22400357,2024-12-08 21:00:00,Sacramento,Kings,1610612758,Utah,Jazz,1610612762,141,97,1610612758,609.0,15706.0,,
22400356,2024-12-08 21:00:00,Los Angeles,Clippers,1610612746,Houston,Rockets,1610612745,106,117,1610612745,1000137.0,14782.0,,
22400355,2024-12-08 20:30:00,Golden State,Warriors,1610612744,Minnesota,Timberwolves,1610612750,114,106,1610612744,1000011.0,18064.0,,
22400354,2024-12-08 19:00:00,San Antonio,Spurs,1610612759,New Orleans,Pelicans,1610612740,121,116,1610612759,1000118.0,16840.0,,
22400353,2024-12-08 19:00:00,Washington,Wizards,1610612764,Memphis,Grizzlies,1610612763,112,140,1610612763,77.0,15012.0,,
22400352,2024-12-08 18:30:00,Orlando,Magic,1610612753,Phoenix,Suns,1610612756,115,110,1610612753,1000125.0,18311.0,,
22400351,2024-12-08 18:00:00,Miami,Heat,1610612748,Cleveland,Cavaliers,1610612739,122,113,1610612748,1000100.0,19600.0,,
